Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/ Murder and nonnegligent manslaughter
Agency,State,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,
Pinal County Sheriff Department,AZ,           6,          12,           6,          14,,           8,           9,           7,           9,           8,,           6,,,,           0,           1,           2,           5,          11,          11,          11,          11,           7,           8,          13,           5,           5, 
Scottsdale Police Dept,AZ,           7,           8,           4,           8,           3,           0,           8,           4,           3,           4,           6,           8,,           4,           2,           8,          10,           1,           7,           4,           4,           5,           5,           5,          10,           4,           4,           3, 
Surprise Police Dept,AZ,           0,           0,           0,           1,,           0,           0,           1,           1,           0,           0,           0,           0,,           1,           1,           1,           1,,           0,           1,           0,           6,           0,           1,           0,           0,           3, 
Tempe Police Dept,AZ,,           7,           4,           9,           4,           3,           6,           8,           4,           9,           7,           3,          12,           4,           6,          13,           5,          10,           7,           8,           4,           5,          10,           6,           2,          11,           5,          11, 
Tucson Police Dept,AZ,          32,          41,          23,          31,,          30,          24,          42,          44,          37,          65,          46,          50,          45,          36,          60,          42,          47,          47,          55,          55,          51,          49,          65,          35,          51,          51,          43, 
Little Rock Police Dept,AR,          32,          38,          28,          29,          48,          33,          46,          56,          68,          56,          53,          29,          34,          25,          30,          31,          34,          41,          44,          40,          41,          58,          51,          37,          30,          25,          37,          45, 
Anaheim Police Dept,CA,          16,          11,          14,          19,          27,          20,          25,          35,          33,          24,          25,          14,          15,          18,          16,          11,           8,          17,           9,          10,          10,          10,          17,          11,           9,           7,          15,          15, 
Antioch Police Dept,CA,           5,           4,           2,           3,           5,           6,           6,           2,           7,           8,           2,           7,           3,           6,           3,           3,           8,           1,           6,           6,          10,          10,          10,           8,           5,          13,           5,          10, 
Bakersfield Police Dept,CA,          17,          22,          20,          22,          14,          25,          20,          16,          27,          35,          29,          25,          22,          20,          24,          23,          22,          22,          24,          23,          32,          24,          15,          25,          27,          33,          18,          34, 
Berkeley Police Dept,CA,          11,          13,          11,          14,          11,          11,          14,          12,           8,           8,          10,           8,          11,           2,           3,           4,           1,           7,           6,           4,           3,           4,           5,           8,           6,           5,           1,           5, 
Burbank Police Dept,CA,           2,           4,           6,           9,           2,           2,           6,           7,           5,           5,           6,           4,           0,           4,           2,           1,           3,           1,           3,           4,           3,           1,           3,           2,           1,           0,           1,           2, 
Carslbad Police Dept,CA,           2,           0,           4,           3,           4,           4,           6,           2,           5,           3,           3,           3,           2,           2,           0,           1,           2,           1,           4,           2,           2,           1,           2,           2,           5,           0,           4,           2, 
Chula Vista Police Dept,CA,           3,           2,           5,           8,           4,           7,           8,           7,          14,           7,          12,           5,           8,           5,          10,           3,           8,           5,           7,          15,           5,           7,           8,           6,           4,           2,           6,           8, 
City Of Murrieta Police Dept,CA,,,,,,,,,           1,           1,           0,           1,           0,           0,           0,           0,           1,           0,           0,           1,           1,           2,           3,           1,           0,           1,           2,           1, 
Concord Police Dept,CA,           3,           6,           3,           5,           3,           3,           3,           5,           5,           4,           4,           4,           0,           4,           2,           4,           0,           3,           4,           5,           1,           2,           3,           6,           2,           4,           7,           0, 
Contra Costa County Sheriff Department,CA,          13,          12,          15,          17,          17,           6,          20,          10,          29,          27,          21,           9,           9,           9,          14,           8,          13,           5,           9,          11,          11,          13,          11,          16,          11,          12,          13,          10, 
Corona Police Dept,CA,           4,           3,           2,           3,           1,           4,           3,           6,           1,           4,           4,           4,           8,           1,           4,           6,           3,           8,           6,           5,           4,           1,           5,           4,           8,           2,           2,           1, 
Costa Mesa Police Dept,CA,           1,           3,           1,           4,           2,           6,           2,           8,           5,           6,           2,           1,           3,           1,           4,           2,           4,           2,           1,           3,           3,           6,           0,           1,           1,           1,           4,           4, 
Daly City Police Dept,CA,           2,           4,           6,           0,           3,           5,           4,           2,           7,           1,           3,           0,           4,           6,           7,           1,           5,           2,           0,           3,           2,           3,           0,           1,           1,           2,           1,           0, 
Downey Police Dept,CA,           2,           7,           5,           5,           4,           1,           8,           5,           3,           9,           7,           7,           7,           6,           9,           4,           5,           1,           7,           0,           7,           4,           3,           3,           4,           6,           2,           6, 
El Cajon Police Dept,CA,           8,           9,           5,           6,           6,           2,           6,           2,           8,           3,           3,           5,           3,           7,           3,           2,           5,           3,           5,           7,           2,           4,           4,           1,           2,           0,           2,           2, 
El Dorado County Sheriff Department,CA,           5,           8,           7,           5,           3,           9,           7,           6,           2,           4,           3,           2,           3,           5,           3,           2,           2,           4,           2,           2,           3,           3,           3,           7,           3,           3,           2,           3, 
El Monte Police Dept,CA,           8,          15,          12,           8,          10,           9,          13,          17,          19,          16,          30,           9,           7,          11,           8,           6,          10,           7,           3,           7,           4,           5,           6,          12,           3,           3,           1,           4, 
Escondido Police Dept,CA,           3,           5,           4,           6,           6,           4,          11,           8,           8,           9,          11,           7,           6,           1,           3,           5,           2,           4,           5,           3,           2,           3,           4,           4,           4,           3,           3,           5, 
Fairfield Police Dept,CA,           3,           1,           2,           3,           3,           2,           8,           3,          10,           6,           4,           3,           3,           3,           4,           3,           3,           6,          12,           3,           9,           6,           7,           5,           6,           8,           5,           8, 
Fontana Police Dept,CA,           1,           8,           7,           4,           9,          11,          13,          18,          14,          19,          13,          16,          12,          11,           9,          13,          10,           7,          18,           9,          10,           5,           8,          12,           6,           6,           5,           5, 
Fremont Police Dept,CA,           3,           5,           1,           2,           2,           2,           2,           6,           4,           6,           2,           3,           4,           9,           1,           3,           0,           3,           2,           5,           1,           6,           5,           2,           2,           3,           2,           2, 
Fresno County Sheriff Department,CA,          24,          25,          25,          19,          16,          17,          20,          38,          33,          30,          24,          16,          18,          14,          14,          12,          15,          13,          11,          10,          20,          10,          17,          19,          16,          10,           6,          15, 
Fresno Police Dept,CA,          46,          53,          33,          39,          42,          66,          52,          81,          87,          84,          71,          69,          60,          36,          26,          24,          40,          42,          37,          53,          49,          52,          52,          40,          42,          45,          35,          51, 
Fullerton Police Dept,CA,           5,           3,           2,           6,           8,           6,           3,           4,           2,           6,           6,           5,           2,           2,           4,           3,           3,           1,           5,           1,           0,           2,           5,           2,           2,           3,           2,           0, 
Garden Grove Police Dept,CA,          13,          12,          10,           8,           8,          16,           7,           5,          13,           7,           6,           5,           3,           7,          11,           4,           5,           6,           6,          10,           6,           9,           8,           3,           6,           3,           2,           1, 
Glendale Police Dept,CA,           4,           5,           6,           6,           7,           3,           8,           7,           9,           5,           8,          14,           6,           2,           3,           6,           5,           9,           6,           5,          19,           2,           2,           3,           3,           0,           0,           0, 
Hayward Police Dept,CA,           6,           5,           3,           8,           6,           4,          10,           5,           8,          12,          12,          12,           7,           5,          11,           9,          10,           9,           8,           9,           9,           4,           8,           7,           7,          13,           7,           6, 
Huntington Beach Police Dept,CA,           4,           7,           6,           5,           5,           5,           6,           8,           3,           5,           8,           0,           5,           0,           5,           0,           0,           3,           3,           6,           1,           2,           0,           3,           1,           2,           4,           3, 
Inglewood Police Dept,CA,          27,          32,          30,          30,          45,          55,          46,          37,          45,          46,          40,          27,          25,          35,          16,          23,          38,          28,          32,          26,          26,          36,          19,          13,          27,          20,          13,          14, 
Irvine Police Department,CA,           2,           3,           2,           1,           2,           0,           0,           3,           1,           1,           2,           1,           1,           4,           2,           1,           0,           1,           2,           2,           2,           4,           4,           1,           3,           0,           2,           2, 
Kern County Sheriff Department,CA,          34,          24,          40,          40,          29,          30,          37,          31,          37,          44,          34,          26,          26,          31,          23,          11,          13,          26,          15,          18,          28,          32,          28,          23,          39,          34,          22,          22, 
Lancaster,CA,           6,           4,           2,           4,           2,           4,          14,          10,           7,          10,           9,          12,           7,           8,           5,           5,           7,          12,          18,          15,          16,          19,          12,          10,          10,           7,           4,           8, 
Long Beach Police Dept,CA,          63,          62,          62,          58,          85,         106,          94,         104,         126,          80,          80,          95,          56,          38,          46,          49,          49,          67,          49,          48,          42,          41,          42,          40,          40,          32,          25,          32, 
Los Angeles County Sheriff Department,CA,,,,,,,,,,,,,,,         117,         111,         108,         135,         144,         170,         168,         135,         127,         135,         102,          86,          88,          75, 
Los Angeles Police Dept,CA,         777,         834,         811,         736,         877,         983,       1027,       1094,       1076,         845,         849,         711,         576,         426,         425,         550,         588,         654,         515,         518,         489,         480,         395,         384,         312,         293,         297,         299, 
Modesto Police Dept,CA,           5,           6,           7,           7,           5,           8,           7,          17,          12,          12,          13,          12,          17,           6,           5,           3,          17,           5,          17,          19,           8,          11,          11,          18,          21,          10,          14,          20, 
Monterey County Sheriff Department,CA,           8,           8,           3,           2,           7,           9,           5,          10,           4,           8,           3,           4,           4,           5,           5,           4,           6,           0,           5,           8,           4,           6,           7,           6,           8,          11,           8,           7, 
Moreno Valley,CA,,,,,,           6,          21,          15,          12,          11,          16,          13,          14,           9,           6,           1,           3,           7,           4,           9,          11,          16,          13,          10,           6,          15,           7,           5, 
Norwalk,CA,           3,           9,           4,           4,           4,          11,          10,           7,           6,          10,          16,          14,           8,          16,          10,           3,           7,          10,           9,           2,          11,           7,           6,           6,          13,           4,           5,          11, 
Oakland Police Dept,CA,          95,         129,         114,         112,         129,         146,         149,         165,         154,         140,,          93,          99,          72,          60,          80,          84,         108,         109,          83,          93,         145,         120,         115,         104,          90,         104,         127, 
Oceanside,CA,           6,           9,          12,          12,          10,          11,          13,          16,          18,          15,          23,          10,           9,           8,           7,           3,           4,           5,           8,           8,           7,           8,           3,           5,           4,           4,           7,           8, 
Ontario Police Dept,CA,           8,          17,          14,           9,          19,          19,          26,          19,          19,          25,          21,          17,          13,          18,           9,          15,          10,           7,          11,           7,          12,          13,          15,           5,           5,           3,           6,           3, 
Orange County Sheriff Department,CA,           6,           5,           7,          10,           8,          12,           9,           8,           8,           6,           5,           9,           4,           3,           4,           0,           2,           1,           3,           2,           1,           2,           1,           0,           1,           0,           1,           0, 
Orange Police Dept,CA,           5,           3,           4,           3,           6,           5,           5,           9,           3,           8,           6,           1,          12,           1,           1,           2,           0,           1,           1,           1,           2,           1,           1,           1,           2,           3,           3,           4, 
Oxnard Police Dept,CA,           7,          13,           4,          11,           6,           6,           8,          14,          16,           8,          11,          16,           5,           7,           4,           9,           6,          10,          22,          18,          19,          13,           9,          14,          13,           8,           8,           9, 
Palmdale,CA,           1,           1,           2,           4,           2,           4,           4,          11,           8,          10,           7,           6,           6,           7,           6,           6,           8,           7,          11,          10,          15,          15,          11,           5,           8,           8,           9,           6, 
Pasadena Police Dept,CA,          29,          13,          14,          22,          18,          13,          15,          18,          27,          16,          12,          14,          12,          10,           2,           4,           4,           3,           4,           9,           6,          11,          11,           3,           5,           3,           7,           5, 
Placer County Sheriff Department,CA,           5,           8,           8,           9,           2,           7,           4,           1,           7,           4,           6,           5,           1,           6,           1,           3,           2,           0,           2,           1,           5,           2,           2,           3,           4,           0,           4,           0, 
Pomona Police Dept,CA,          24,          28,          35,          28,          44,          34,          25,          39,          40,          39,          32,          19,          34,          16,          26,          23,          19,          18,          17,          21,          21,          19,          27,          20,          17,          16,          11,          17, 
Rancho Cucamonga,CA,           5,           3,           1,           5,           1,           6,           6,           3,           4,           5,           7,           8,           4,           5,           7,           6,           1,           2,           4,           4,           2,           3,           3,           2,           1,           2,           6,           4, 
Rialto Police Dept,CA,           2,           6,           2,           7,           5,           9,           4,          11,          10,          18,          10,           6,           3,           6,           5,           7,          10,          18,          11,          13,          11,          12,          15,          11,           6,           7,           6,           4, 
Richmond Police Dept,CA,          19,          21,          16,          31,          38,          36,          61,          46,          52,          52,          26,          34,          30,          18,          31,          29,          18,          29,          38,          35,          40,          42,          47,          27,          47,          21,          26,          18, 
Riverside County Sheriff Department,CA,          42,          36,          53,          50,          59,          56,          61,          43,          57,          50,          44,          42,          35,          37,          13,          25,          22,          37,          29,          32,          39,          34,          32,          24,          23,          21,          13,          18, 
Riverside Police Dept,CA,          14,          25,          17,          13,          25,          22,          39,          23,          33,          37,          34,          18,          23,          17,          30,          17,          20,          20,          24,          17,          10,          11,          12,          19,          15,           9,          13,          16, 
Roseville Police Dept,CA,           1,           0,           3,           2,           0,           1,           2,           1,           1,           3,           1,           0,           1,           0,           0,           1,           1,           0,           4,           2,           0,           3,           1,           0,           2,           1,           1,           2, 
Sacramento County Sheriff Department,CA,          23,          37,          30,          30,          26,          45,          54,          45,          60,          64,          46,          51,          45,          41,          26,          35,          37,          36,          38,          41,          57,          37,          40,          47,          29,          39,          33,          32, 
Sacramento Police Dept,CA,          39,          70,          78,          68,          44,          43,          66,          45,          85,          62,          57,          43,          41,          31,          54,          39,          40,          47,          43,          50,          52,          57,          44,          49,          30,          33,          36,          34, 
Salinas Police Dept,CA,          10,           9,           7,           4,           7,          11,           7,          16,          15,          24,          15,           9,          18,          17,          12,          18,          15,          20,          19,          17,           7,           7,          14,          25,          29,          19,          15,          21, 
San Bernardino County Sheriff Department,CA,          53,          47,          58,          52,          47,          42,          40,          52,          59,          48,          44,          41,          41,          24,          27,          28,          42,          35,          32,          34,          27,          36,          24,          23,          22,          16,          18,          13, 
San Bernardino Police Dept,CA,          17,          32,          35,          41,,,,          75,          82,          71,          67,          42,          36,          41,          23,          32,          30,          42,          48,          50,          58,          46,          45,          32,          32,          31,          30,          47, 
San Diego County Sheriff Department,CA,          42,          62,          43,          42,          36,          45,          51,          55,          48,          44,          44,          42,          13,           7,          14,          14,          10,          11,          17,          16,          13,          20,          13,          14,           9,          13,          18,          17, 
San Diego Police Dept,CA,          96,         102,          96,         144,         121,         135,         167,         146,         133,         113,          91,          79,          67,          42,          57,          54,          50,          47,          65,          62,          51,          68,          59,          55,          41,          29,          38,          47, 
San Francisco Police Dept,CA,          85,         114,         103,          92,          73,         101,          95,         117,         129,          91,          99,          82,          59,          58,          64,          59,,          68,          69,          88,          96,          86,         100,          98,          45,          48,          50,          69, 
San Joaquin County Sheriff Department,CA,          23,          24,          15,          18,          14,          22,           7,          12,          17,          16,          16,          14,          19,          13,           6,           7,          18,          15,          15,          10,          12,          17,          12,           9,          10,           8,          23,          12, 
San Jose Police Dept,CA,          55,          39,          24,          37,          38,          35,          53,          43,          41,          33,          38,          40,          43,          29,          25,          19,          22,          26,          29,          24,          26,          29,          33,          31,          28,          20,          39,          45, 
San Luis Obispo County Sheriff Department,CA,           6,           6,           1,           0,           2,           5,           3,           3,           0,           8,           5,           5,           4,           2,           1,           2,           2,           1,           1,           0,           2,           1,           0,           2,           3,           6,           1,           4, 
San Mateo County Sheriff Department,CA,           9,           4,           8,           2,           1,           8,           3,           2,           5,           5,           4,           2,           1,           2,           2,           0,           2,           2,           2,           2,           1,           1,           3,           5,           1,           2,           0,           0, 
Santa Ana Police Dept,CA,          33,          32,          31,          38,          53,          43,          59,          58,          78,          74,          72,          46,          27,          21,          15,          17,          24,          23,          17,          25,          17,          26,          23,          30,          25,          28,          13,          11, 
Santa Barbara County Sheriff Department,CA,           7,           0,           3,          10,           1,           2,           8,           5,           5,           4,           1,           4,           4,           3,           1,           1,           1,           2,           1,           3,           2,           0,           2,           2,           0,           3,           1,           3, 
Santa Clara Police Dept,CA,           4,           3,           3,           5,           6,           9,           3,           4,           3,           2,           3,           0,           1,           1,           2,           0,           0,           4,           7,           2,           5,           3,           3,           4,           6,           2,           2,           0, 
Santa Clarita,CA,,,,,,           1,           2,           4,           4,           0,           4,           2,           2,           6,           2,           0,           3,           6,           3,           2,           3,           3,           1,           2,           5,           1,           5,           1, 
Santa Cruz County Sheriff Department,CA,           8,          15,          10,           7,           7,           4,           6,           5,           5,           2,           3,           1,           3,           4,           1,           4,           9,           2,           5,           2,           0,           7,           4,           3,           2,           7,           3,           5, 
Santa Maria Police Dept,CA,           1,           4,           1,           6,           0,           2,           3,           5,           1,           2,           5,           4,           2,           3,           1,           3,           4,,,           3,           3,           2,           3,           9,           5,           3,           7,           0, 
Santa Rosa Police Dept,CA,           5,          11,           2,           5,           5,           1,           6,           2,           7,           5,           4,           2,          10,           4,           5,           2,           3,           6,           2,           5,           2,           6,           4,           8,           2,           2,           5,           2, 
Simi Valley Police Dept,CA,           3,           4,           3,           2,           3,           1,           6,           2,           0,           1,           4,           1,           5,           2,           0,           1,           6,           0,           2,           3,           0,           3,           2,           4,           2,           1,           0,           3, 
Sonoma County Sheriff Department,CA,           4,          13,          15,           9,          10,          10,          10,           4,          14,          11,           8,           9,           2,           4,           2,           4,           5,           6,,           8,           3,           2,           2,           3,           6,           0,           5,           0, 
Stanislaus County Sheriff Department,CA,           6,           9,          11,           7,          11,          12,          13,          17,           7,          11,          11,          12,           9,           8,          13,          10,          13,           8,           6,          13,          14,          10,          12,           4,          14,          11,          16,          13, 
Stockton Police Dept,CA,          27,          35,          33,          41,          42,          51,          55,          53,          45,          44,          42,          46,          45,          27,          32,          30,          30,          36,          37,          40,          41,          37,          29,          24,          33,          49,          58,          71, 
Sunnyvale Dept Of Public Safety,CA,           5,           4,           5,          10,           2,           2,           3,           2,           3,           2,           3,           0,           0,           2,           1,           1,           0,           2,           2,           2,           3,           1,           2,           2,           1,           0,           3,           3, 
Temecula,CA,,,,,,,           0,           0,           3,           0,           0,           0,           0,           1,           0,           0,           1,           0,           1,           0,           4,           0,           5,           3,           1,           2,           0,           0, 
Thousand Oaks,CA,           1,           1,           2,,           2,           2,           1,           1,           3,           1,           0,           3,           1,           0,           2,           3,           1,           0,           1,           0,           2,           0,           2,           2,           2,           1,           1,           0, 
Torrance Police Dept,CA,           4,           6,           3,           3,           7,           2,           2,           2,          12,           3,           5,           3,           2,           3,           3,           2,           4,           2,           2,           0,           1,           1,           2,           2,           1,           4,           2,           4, 
Tulare County Sheriff Department,CA,          14,          16,          21,          16,          13,          12,          21,          19,          14,          19,          20,          12,          12,          11,          10,           9,          12,          12,          11,           9,          30,          20,          10,          24,          16,          15,          20,          17, 
Vallejo Police Dept,CA,           6,           6,          15,          13,          16,           8,          13,          13,          10,          30,          13,          15,           3,           6,           6,          12,           4,           7,           6,,,           6,          15,          13,          10,          17,          18,          14, 
Ventura Police Dept,CA,           1,           6,           2,           3,           2,           1,           6,           4,           9,           5,           1,           6,           4,           5,           3,           3,           2,           2,           3,           3,           1,           1,           1,           2,           5,           3,           1,           1, 
Victorville,CA,           2,           3,           3,           5,           5,           2,          10,           9,           3,           3,           8,           6,           7,           5,           4,           5,           2,           6,           3,           4,          12,           8,           9,           4,          10,           6,           6,           6, 
Visalia Police Dept,CA,           6,           5,           4,           3,           7,           7,           6,           4,           3,          11,           5,           7,           7,           6,           7,           5,           4,          12,           9,           6,          10,           8,          12,          10,           9,           6,           8,           5, 
West Covina Police Dept,CA,           6,           5,           3,           2,           5,           8,          11,           4,           5,           6,          10,           6,           8,           5,           3,           2,           2,           2,           5,           5,           6,           2,           2,           3,           8,           0,           1,           2, 
Alameda County Sheriff Department,CA,           3,           8,           2,          10,          10,           7,           5,           8,          12,           9,          13,           8,          10,           6,           2,           1,           3,           2,           8,           5,           9,           3,           6,           5,           3,           8,           3,           5, 
Arvada Police Dept,CO,           2,           2,           2,           3,           1,           1,           0,,           1,           6,           1,           1,,           2,           0,           0,           1,           2,           3,           0,           2,           0,           5,           1,           2,           1,           1,           0, 
Aurora Police Dept,CO,          10,          11,          20,          15,           7,           8,          11,          16,          19,          15,          18,          11,          17,          28,          11,          22,          17,          16,          18,          13,          28,          18,          14,          18,          19,          24,           9,          29, 
Boulder Police Dept,CO,           2,           0,           1,           1,           0,           1,           1,           0,           1,           6,           3,           1,           2,           1,           0,           0,           0,           5,           0,           0,           0,           1,           1,           1,           5,           4,           2,           0, 
Colorado Springs,CO,          13,          23,          15,          10,           9,           9,          25,          17,          19,          14,          18,          12,          24,           8,          24,          15,          14,          25,          17,          14,          12,          15,          27,          24,          15,          20,          26,          18, 
Denver Police Dept,CO,          72,          91,          79,          69,          55,          67,          88,          95,          74,          81,          81,          64,          69,          51,          63,          32,          45,          51,          63,          87,          59,          51,          47,          40,          35,          28,          34,          39, 
Douglas County Sheriff Department,CO,           2,           1,           2,           2,           3,           0,           3,           1,           1,           2,           0,           0,           0,           2,           0,,           6,           0,           3,           0,           2,           2,           2,           1,           0,           0,           2,           0, 
