"","Agency","State","address","lon","at"
"7945","Richmond","CA","Richmond , CA",-122.3477486,37.9357576
"7962","Richmond","GA","Richmond , GA",-82.0842901,33.3205339
"7985","Richmond (City) Bureau Of Police","VA","Richmond (City) Bureau Of Police , VA",-77.4529644,37.5450878
"8013","Riverside","CA","Riverside , CA",-117.3961564,33.9533487
"8041","Riverside County","CA","Riverside County , CA",-117.3961192,33.9532966
"8069","Rochester","MN","Rochester , MN",-92.4801989,44.0121221
"8070","Rochester","NY","Rochester , NY",-77.6109219,43.16103
"8116","Rockford","IL","Rockford , IL",-89.0939952,42.2711311
"8123","Roseville","CA","Roseville , CA",-121.2880059,38.7521235
"8151","Round Rock","TX","Round Rock , TX",-97.678896,30.5082551
"8178","Sacramento","CA","Sacramento , CA",-121.4943996,38.5815719
"8206","Sacramento County","CA","Sacramento County , CA",-121.3541631,38.47467
"8234","Saint Louis County.","MO","Saint Louis County. , MO",-90.4125181,38.6103023
"8252","Salem","OR","Salem , OR",-123.0350963,44.9428975
"8280","Salinas","CA","Salinas , CA",-121.6555013,36.6777372
"8308","Salt Lake City","UT","Salt Lake City , UT",-111.8910474,40.7607793
"8336","Salt Lake County","UT","Salt Lake County , UT",-111.9522491,40.644188
"8348","San Antonio","TX","San Antonio , TX",-98.4936282,29.4241219
"8376","San Bernardino","CA","San Bernardino , CA",-117.2897652,34.1083449
"8401","San Bernardino County","CA","San Bernardino County , CA",-116.419389,34.9592083
"8429","San Diego","CA","San Diego , CA",-117.1610838,32.715738
"8457","San Diego County","CA","San Diego County , CA",-117.1610966,32.7157305
"8485","San Francisco","CA","San Francisco , CA",-122.4194155,37.7749295
"8512","San Joaquin County","CA","San Joaquin County , CA",-121.1710389,37.9175935
"8540","San Jose","CA","San Jose , CA",-121.8863286,37.3382082
"8568","San Luis Obispo County","CA","San Luis Obispo County , CA",-120.4357631,35.3102296
"8596","San Mateo County","CA","San Mateo County , CA",-122.4014193,37.4337342
"8624","Santa Ana","CA","Santa Ana , CA",-117.8678338,33.7455731
"8652","Santa Barbara County","CA","Santa Barbara County , CA",-119.6982057,34.4208321
"8680","Santa Clara","CA","Santa Clara , CA",-121.9552356,37.3541079
"8708","Santa Clarita","CA","Santa Clarita , CA",-118.542586,34.3916641
"8731","Santa Cruz County","CA","Santa Cruz County , CA",-121.9579578,37.0453988
"8759","Santa Maria","CA","Santa Maria , CA",-120.4357191,34.9530337
"8785","Santa Rosa","CA","Santa Rosa , CA",-122.7140548,38.440429
"8813","Santa Rosa County","FL","Santa Rosa County , FL",-86.9824288,30.7689907
"8829","Sarasota County","FL","Sarasota County , FL",-82.345189,27.1995986
"8845","Saratoga County","NY","Saratoga County , NY",-73.9359821,43.0324245
"8873","Savannah","GA","Savannah , GA",-81.0998342,32.0835407
"8897","Scottsdale","AZ","Scottsdale , AZ",-111.9260519,33.4941704
"8924","Seattle","WA","Seattle , WA",-122.3320708,47.6062095
"8952","Seminole County","FL","Seminole County , FL",-81.2078164,28.7131688
"8968","Shelby County","TN","Shelby County , TN",-89.9253233,35.1268552
"8989","Shreveport","LA","Shreveport , LA",-93.7501789,32.5251516
"9017","Simi Valley","CA","Simi Valley , CA",-118.781482,34.2694474
"9045","Sioux Falls","SD","Sioux Falls , SD",-96.7311034,43.5445959
"9073","Snohomish County","WA","Snohomish County , WA",-121.8339472,48.0329979
"9096","Sonoma County","CA","Sonoma County , CA",-122.9888319,38.5779555
"9123","South Bend","IN","South Bend , IN",-86.2519898,41.6763545
"9148","Spartanburg County","SC","Spartanburg County , SC",-81.9534815,34.860551
"9175","Spokane","WA","Spokane , WA",-117.4260466,47.6587802
"9203","Spokane County","WA","Spokane County , WA",-117.4225481,47.658693
"9230","Spotsylvania County","VA","Spotsylvania County , VA",-77.6077865,38.204165
"9258","Springfield","MA","Springfield , MA",-72.589811,42.1014831
"9259","Springfield","MO","Springfield , MO",-93.2922989,37.2089572
"9308","Springfield","IL","Springfield , IL",-89.6501481,39.7817213
"9317","St. Charles County","MO","St. Charles County , MO",-90.8294002,38.7338885
"9345","St. John County","FL","St. John County , FL",-81.4278984,29.9719419
"9360","St. Joseph County","IN","St. Joseph County , IN",-86.3376761,41.6228085
"9388","St. Louis","MO","St. Louis , MO",-90.1994042,38.6270025
"9416","St. Marys County","MD","St. Marys County , MD",-76.7439767,38.4421648
"9444","St. Paul","MN","St. Paul , MN",-93.0899578,44.9537029
"9472","St. Petersburg","FL","St. Petersburg , FL",-82.6267345,27.7518284
"9488","St. Tammany","LA","St. Tammany , LA",-89.9253233,30.4357418
"9516","Stafford County","VA","Stafford County , VA",-77.4242972,38.4334566
"9544","Stamford","CT","Stamford , CT",-73.5387341,41.0534302
"9572","Stanislaus County","CA","Stanislaus County , CA",-120.9876321,37.5090711
"9600","Stark County","OH","Stark County , OH",-81.2518833,40.8684676
"9626","Sterling Heights","MI","Sterling Heights , MI",-83.0302033,42.5803122
